,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy
89,25,4,2,3,SR,-0.7,0.1,0.3225806451612903
90,26,4,3,3,SR,-0.7,0.1,0.41935483870967744
91,27,4,4,3,SR,-0.7,0.1,0.5161290322580645
92,28,4,5,3,SR,-0.7,0.1,0.3548387096774194
93,29,4,6,3,SR,-0.7,0.1,0.3548387096774194
94,30,4,7,3,SR,-0.7,0.1,0.41935483870967744
95,31,4,8,3,SR,-0.7,0.1,0.5161290322580645
96,32,5,1,3,SR,-0.7,0.1,0.41935483870967744
97,33,5,2,3,SR,-0.7,0.1,0.3870967741935484
98,34,5,3,3,SR,-0.7,0.1,0.45161290322580644
99,35,5,4,3,SR,-0.7,0.1,0.7096774193548387
100,36,5,5,3,SR,-0.7,0.1,0.5806451612903226
101,37,5,6,3,SR,-0.7,0.1,0.3870967741935484
102,38,5,7,3,SR,-0.7,0.1,0.45161290322580644
103,39,5,8,3,SR,-0.7,0.1,0.4838709677419355
104,40,6,1,3,SR,-0.7,0.1,0.6129032258064516
105,41,6,2,3,SR,-0.7,0.1,0.5806451612903226
106,42,6,3,3,SR,-0.7,0.1,0.6451612903225806
107,43,6,4,3,SR,-0.7,0.1,0.6774193548387096
108,44,6,5,3,SR,-0.7,0.1,0.6774193548387096
109,45,6,6,3,SR,-0.7,0.1,0.3870967741935484
110,46,6,7,3,SR,-0.7,0.1,0.5161290322580645
111,47,6,8,3,SR,-0.7,0.1,0.41935483870967744
112,48,7,1,3,SR,-0.7,0.1,0.5806451612903226
113,49,7,2,3,SR,-0.7,0.1,0.5483870967741935
114,50,7,3,3,SR,-0.7,0.1,0.5806451612903226
115,51,7,4,3,SR,-0.7,0.1,0.5806451612903226
116,52,7,5,3,SR,-0.7,0.1,0.5483870967741935
117,53,7,6,3,SR,-0.7,0.1,0.3548387096774194
118,54,7,7,3,SR,-0.7,0.1,0.41935483870967744
119,55,7,8,3,SR,-0.7,0.1,0.3870967741935484
120,56,8,1,3,SR,-0.7,0.1,0.8064516129032258
121,57,8,2,3,SR,-0.7,0.1,0.7419354838709677
122,58,8,3,3,SR,-0.7,0.1,0.5161290322580645
123,59,8,4,3,SR,-0.7,0.1,0.5806451612903226
124,60,8,5,3,SR,-0.7,0.1,0.5806451612903226
125,61,8,6,3,SR,-0.7,0.1,0.4838709677419355
126,62,8,7,3,SR,-0.7,0.1,0.5806451612903226
127,63,8,8,3,SR,-0.7,0.1,0.5161290322580645
128,0,1,1,3,SR,-0.6,0.1,0.6129032258064516
129,1,1,2,3,SR,-0.6,0.1,0.5161290322580645
130,2,1,3,3,SR,-0.6,0.1,0.3870967741935484
131,3,1,4,3,SR,-0.6,0.1,0.41935483870967744
132,4,1,5,3,SR,-0.6,0.1,0.45161290322580644
133,5,1,6,3,SR,-0.6,0.1,0.3870967741935484
134,6,1,7,3,SR,-0.6,0.1,0.4838709677419355
135,7,1,8,3,SR,-0.6,0.1,0.5161290322580645
136,8,2,1,3,SR,-0.6,0.1,0.6129032258064516
137,9,2,2,3,SR,-0.6,0.1,0.25806451612903225
138,10,2,3,3,SR,-0.6,0.1,0.5161290322580645
139,11,2,4,3,SR,-0.6,0.1,0.5161290322580645
140,12,2,5,3,SR,-0.6,0.1,0.5483870967741935
141,13,2,6,3,SR,-0.6,0.1,0.5161290322580645
142,14,2,7,3,SR,-0.6,0.1,0.5483870967741935
143,15,2,8,3,SR,-0.6,0.1,0.5161290322580645
144,16,3,1,3,SR,-0.6,0.1,0.6129032258064516
145,17,3,2,3,SR,-0.6,0.1,0.45161290322580644
146,18,3,3,3,SR,-0.6,0.1,0.41935483870967744
147,19,3,4,3,SR,-0.6,0.1,0.4838709677419355
148,20,3,5,3,SR,-0.6,0.1,0.45161290322580644
149,21,3,6,3,SR,-0.6,0.1,0.41935483870967744
150,22,3,7,3,SR,-0.6,0.1,0.5161290322580645
151,23,3,8,3,SR,-0.6,0.1,0.4838709677419355
152,24,4,1,3,SR,-0.6,0.1,0.6129032258064516
153,25,4,2,3,SR,-0.6,0.1,0.41935483870967744
154,26,4,3,3,SR,-0.6,0.1,0.6451612903225806
155,27,4,4,3,SR,-0.6,0.1,0.6451612903225806
156,28,4,5,3,SR,-0.6,0.1,0.45161290322580644
157,29,4,6,3,SR,-0.6,0.1,0.3870967741935484
158,30,4,7,3,SR,-0.6,0.1,0.45161290322580644
159,31,4,8,3,SR,-0.6,0.1,0.45161290322580644
160,32,5,1,3,SR,-0.6,0.1,0.6129032258064516
161,33,5,2,3,SR,-0.6,0.1,0.6129032258064516
162,34,5,3,3,SR,-0.6,0.1,0.5161290322580645
163,35,5,4,3,SR,-0.6,0.1,0.5483870967741935
164,36,5,5,3,SR,-0.6,0.1,0.3870967741935484
165,37,5,6,3,SR,-0.6,0.1,0.3225806451612903
166,38,5,7,3,SR,-0.6,0.1,0.3870967741935484
167,39,5,8,3,SR,-0.6,0.1,0.41935483870967744
168,40,6,1,3,SR,-0.6,0.1,0.5483870967741935
169,41,6,2,3,SR,-0.6,0.1,0.6451612903225806
170,42,6,3,3,SR,-0.6,0.1,0.5161290322580645
171,43,6,4,3,SR,-0.6,0.1,0.5483870967741935
172,44,6,5,3,SR,-0.6,0.1,0.41935483870967744
173,45,6,6,3,SR,-0.6,0.1,0.3548387096774194
174,46,6,7,3,SR,-0.6,0.1,0.3225806451612903
175,47,6,8,3,SR,-0.6,0.1,0.3870967741935484
176,48,7,1,3,SR,-0.6,0.1,0.5806451612903226
177,49,7,2,3,SR,-0.6,0.1,0.5161290322580645
178,50,7,3,3,SR,-0.6,0.1,0.5161290322580645
179,51,7,4,3,SR,-0.6,0.1,0.3225806451612903
180,52,7,5,3,SR,-0.6,0.1,0.41935483870967744
181,53,7,6,3,SR,-0.6,0.1,0.3548387096774194
182,54,7,7,3,SR,-0.6,0.1,0.41935483870967744
183,55,7,8,3,SR,-0.6,0.1,0.4838709677419355
184,56,8,1,3,SR,-0.6,0.1,0.6774193548387096
185,57,8,2,3,SR,-0.6,0.1,0.7419354838709677
186,58,8,3,3,SR,-0.6,0.1,0.41935483870967744
187,59,8,4,3,SR,-0.6,0.1,0.5483870967741935
188,60,8,5,3,SR,-0.6,0.1,0.5161290322580645
189,61,8,6,3,SR,-0.6,0.1,0.45161290322580644
190,62,8,7,3,SR,-0.6,0.1,0.6451612903225806
191,63,8,8,3,SR,-0.6,0.1,0.6129032258064516
192,0,1,1,3,SR,-0.5,0.1,0.7096774193548387
193,1,1,2,3,SR,-0.5,0.1,0.5806451612903226
194,2,1,3,3,SR,-0.5,0.1,0.41935483870967744
195,3,1,4,3,SR,-0.5,0.1,0.45161290322580644
196,4,1,5,3,SR,-0.5,0.1,0.3870967741935484
197,5,1,6,3,SR,-0.5,0.1,0.3548387096774194
198,6,1,7,3,SR,-0.5,0.1,0.5483870967741935
199,7,1,8,3,SR,-0.5,0.1,0.6129032258064516
200,8,2,1,3,SR,-0.5,0.1,0.6774193548387096
201,9,2,2,3,SR,-0.5,0.1,0.4838709677419355
202,10,2,3,3,SR,-0.5,0.1,0.4838709677419355
203,11,2,4,3,SR,-0.5,0.1,0.3870967741935484
204,12,2,5,3,SR,-0.5,0.1,0.3548387096774194
205,13,2,6,3,SR,-0.5,0.1,0.45161290322580644
206,14,2,7,3,SR,-0.5,0.1,0.41935483870967744
207,15,2,8,3,SR,-0.5,0.1,0.6451612903225806
208,16,3,1,3,SR,-0.5,0.1,0.5161290322580645
209,17,3,2,3,SR,-0.5,0.1,0.5483870967741935
210,18,3,3,3,SR,-0.5,0.1,0.45161290322580644
211,19,3,4,3,SR,-0.5,0.1,0.5483870967741935
212,20,3,5,3,SR,-0.5,0.1,0.3870967741935484
213,21,3,6,3,SR,-0.5,0.1,0.4838709677419355
214,22,3,7,3,SR,-0.5,0.1,0.4838709677419355
215,23,3,8,3,SR,-0.5,0.1,0.6129032258064516
216,24,4,1,3,SR,-0.5,0.1,0.5161290322580645
217,25,4,2,3,SR,-0.5,0.1,0.5806451612903226
218,26,4,3,3,SR,-0.5,0.1,0.5161290322580645
219,27,4,4,3,SR,-0.5,0.1,0.4838709677419355
220,28,4,5,3,SR,-0.5,0.1,0.4838709677419355
221,29,4,6,3,SR,-0.5,0.1,0.5161290322580645
222,30,4,7,3,SR,-0.5,0.1,0.41935483870967744
223,31,4,8,3,SR,-0.5,0.1,0.45161290322580644
224,32,5,1,3,SR,-0.5,0.1,0.45161290322580644
225,33,5,2,3,SR,-0.5,0.1,0.5483870967741935
226,34,5,3,3,SR,-0.5,0.1,0.6451612903225806
227,35,5,4,3,SR,-0.5,0.1,0.6451612903225806
228,36,5,5,3,SR,-0.5,0.1,0.4838709677419355
229,37,5,6,3,SR,-0.5,0.1,0.4838709677419355
230,38,5,7,3,SR,-0.5,0.1,0.3870967741935484
231,39,5,8,3,SR,-0.5,0.1,0.3870967741935484
232,40,6,1,3,SR,-0.5,0.1,0.5161290322580645
233,41,6,2,3,SR,-0.5,0.1,0.6129032258064516
234,42,6,3,3,SR,-0.5,0.1,0.6774193548387096
235,43,6,4,3,SR,-0.5,0.1,0.5483870967741935
236,44,6,5,3,SR,-0.5,0.1,0.7096774193548387
237,45,6,6,3,SR,-0.5,0.1,0.5483870967741935
238,46,6,7,3,SR,-0.5,0.1,0.5161290322580645
239,47,6,8,3,SR,-0.5,0.1,0.45161290322580644
240,48,7,1,3,SR,-0.5,0.1,0.45161290322580644
241,49,7,2,3,SR,-0.5,0.1,0.5161290322580645
242,50,7,3,3,SR,-0.5,0.1,0.5483870967741935
243,51,7,4,3,SR,-0.5,0.1,0.4838709677419355
244,52,7,5,3,SR,-0.5,0.1,0.4838709677419355
245,53,7,6,3,SR,-0.5,0.1,0.3870967741935484
246,54,7,7,3,SR,-0.5,0.1,0.45161290322580644
247,55,7,8,3,SR,-0.5,0.1,0.45161290322580644
248,56,8,1,3,SR,-0.5,0.1,0.8064516129032258
249,57,8,2,3,SR,-0.5,0.1,0.8064516129032258
250,58,8,3,3,SR,-0.5,0.1,0.41935483870967744
251,59,8,4,3,SR,-0.5,0.1,0.4838709677419355
252,60,8,5,3,SR,-0.5,0.1,0.5161290322580645
253,61,8,6,3,SR,-0.5,0.1,0.5806451612903226
254,62,8,7,3,SR,-0.5,0.1,0.6451612903225806
255,63,8,8,3,SR,-0.5,0.1,0.5483870967741935
256,0,1,1,3,SR,-0.4,0.1,0.5161290322580645
257,1,1,2,3,SR,-0.4,0.1,0.45161290322580644
258,2,1,3,3,SR,-0.4,0.1,0.4838709677419355
259,3,1,4,3,SR,-0.4,0.1,0.41935483870967744
260,4,1,5,3,SR,-0.4,0.1,0.4838709677419355
261,5,1,6,3,SR,-0.4,0.1,0.5483870967741935
262,6,1,7,3,SR,-0.4,0.1,0.3870967741935484
263,7,1,8,3,SR,-0.4,0.1,0.4838709677419355
264,8,2,1,3,SR,-0.4,0.1,0.5161290322580645
265,9,2,2,3,SR,-0.4,0.1,0.3548387096774194
266,10,2,3,3,SR,-0.4,0.1,0.3870967741935484
267,11,2,4,3,SR,-0.4,0.1,0.41935483870967744
268,12,2,5,3,SR,-0.4,0.1,0.5161290322580645
269,13,2,6,3,SR,-0.4,0.1,0.4838709677419355
270,14,2,7,3,SR,-0.4,0.1,0.45161290322580644
271,15,2,8,3,SR,-0.4,0.1,0.41935483870967744
272,16,3,1,3,SR,-0.4,0.1,0.5483870967741935
273,17,3,2,3,SR,-0.4,0.1,0.4838709677419355
274,18,3,3,3,SR,-0.4,0.1,0.5161290322580645
275,19,3,4,3,SR,-0.4,0.1,0.3548387096774194
276,20,3,5,3,SR,-0.4,0.1,0.41935483870967744
277,21,3,6,3,SR,-0.4,0.1,0.41935483870967744
278,22,3,7,3,SR,-0.4,0.1,0.4838709677419355
279,23,3,8,3,SR,-0.4,0.1,0.6129032258064516
280,24,4,1,3,SR,-0.4,0.1,0.5483870967741935
281,25,4,2,3,SR,-0.4,0.1,0.41935483870967744
282,26,4,3,3,SR,-0.4,0.1,0.45161290322580644
283,27,4,4,3,SR,-0.4,0.1,0.41935483870967744
284,28,4,5,3,SR,-0.4,0.1,0.4838709677419355
285,29,4,6,3,SR,-0.4,0.1,0.3548387096774194
286,30,4,7,3,SR,-0.4,0.1,0.5161290322580645
287,31,4,8,3,SR,-0.4,0.1,0.5483870967741935
288,32,5,1,3,SR,-0.4,0.1,0.6129032258064516
289,33,5,2,3,SR,-0.4,0.1,0.5483870967741935
290,34,5,3,3,SR,-0.4,0.1,0.45161290322580644
291,35,5,4,3,SR,-0.4,0.1,0.5483870967741935
292,36,5,5,3,SR,-0.4,0.1,0.45161290322580644
293,37,5,6,3,SR,-0.4,0.1,0.3870967741935484
294,38,5,7,3,SR,-0.4,0.1,0.41935483870967744
295,39,5,8,3,SR,-0.4,0.1,0.5161290322580645
296,40,6,1,3,SR,-0.4,0.1,0.6129032258064516
297,41,6,2,3,SR,-0.4,0.1,0.5161290322580645
298,42,6,3,3,SR,-0.4,0.1,0.5806451612903226
299,43,6,4,3,SR,-0.4,0.1,0.5483870967741935
300,44,6,5,3,SR,-0.4,0.1,0.5161290322580645
301,45,6,6,3,SR,-0.4,0.1,0.45161290322580644
302,46,6,7,3,SR,-0.4,0.1,0.3870967741935484
303,47,6,8,3,SR,-0.4,0.1,0.3225806451612903
304,48,7,1,3,SR,-0.4,0.1,0.5483870967741935
305,49,7,2,3,SR,-0.4,0.1,0.5161290322580645
306,50,7,3,3,SR,-0.4,0.1,0.6129032258064516
307,51,7,4,3,SR,-0.4,0.1,0.4838709677419355
308,52,7,5,3,SR,-0.4,0.1,0.5161290322580645
309,53,7,6,3,SR,-0.4,0.1,0.5483870967741935
310,54,7,7,3,SR,-0.4,0.1,0.5483870967741935
311,55,7,8,3,SR,-0.4,0.1,0.5161290322580645
312,56,8,1,3,SR,-0.4,0.1,0.7741935483870968
313,57,8,2,3,SR,-0.4,0.1,0.7741935483870968
314,58,8,3,3,SR,-0.4,0.1,0.4838709677419355
315,59,8,4,3,SR,-0.4,0.1,0.5161290322580645
316,60,8,5,3,SR,-0.4,0.1,0.5483870967741935
317,61,8,6,3,SR,-0.4,0.1,0.6774193548387096
318,62,8,7,3,SR,-0.4,0.1,0.6774193548387096
319,63,8,8,3,SR,-0.4,0.1,0.6774193548387096
320,0,1,1,3,SR,-0.3,0.1,0.6451612903225806
321,1,1,2,3,SR,-0.3,0.1,0.4838709677419355
322,2,1,3,3,SR,-0.3,0.1,0.6451612903225806
323,3,1,4,3,SR,-0.3,0.1,0.6774193548387096
324,4,1,5,3,SR,-0.3,0.1,0.6451612903225806
325,5,1,6,3,SR,-0.3,0.1,0.6774193548387096
326,6,1,7,3,SR,-0.3,0.1,0.41935483870967744
327,7,1,8,3,SR,-0.3,0.1,0.41935483870967744
328,8,2,1,3,SR,-0.3,0.1,0.8387096774193549
329,9,2,2,3,SR,-0.3,0.1,0.5483870967741935
330,10,2,3,3,SR,-0.3,0.1,0.5806451612903226
331,11,2,4,3,SR,-0.3,0.1,0.6451612903225806
332,12,2,5,3,SR,-0.3,0.1,0.5483870967741935
333,13,2,6,3,SR,-0.3,0.1,0.6129032258064516
334,14,2,7,3,SR,-0.3,0.1,0.45161290322580644
335,15,2,8,3,SR,-0.3,0.1,0.41935483870967744
336,16,3,1,3,SR,-0.3,0.1,0.6774193548387096
337,17,3,2,3,SR,-0.3,0.1,0.4838709677419355
338,18,3,3,3,SR,-0.3,0.1,0.45161290322580644
339,19,3,4,3,SR,-0.3,0.1,0.41935483870967744
340,20,3,5,3,SR,-0.3,0.1,0.45161290322580644
341,21,3,6,3,SR,-0.3,0.1,0.4838709677419355
342,22,3,7,3,SR,-0.3,0.1,0.5483870967741935
343,23,3,8,3,SR,-0.3,0.1,0.5161290322580645
344,24,4,1,3,SR,-0.3,0.1,0.7096774193548387
345,25,4,2,3,SR,-0.3,0.1,0.4838709677419355
346,26,4,3,3,SR,-0.3,0.1,0.3870967741935484
347,27,4,4,3,SR,-0.3,0.1,0.5161290322580645
348,28,4,5,3,SR,-0.3,0.1,0.41935483870967744
349,29,4,6,3,SR,-0.3,0.1,0.45161290322580644
350,30,4,7,3,SR,-0.3,0.1,0.5161290322580645
351,31,4,8,3,SR,-0.3,0.1,0.6129032258064516
352,32,5,1,3,SR,-0.3,0.1,0.6774193548387096
353,33,5,2,3,SR,-0.3,0.1,0.5161290322580645
354,34,5,3,3,SR,-0.3,0.1,0.4838709677419355
355,35,5,4,3,SR,-0.3,0.1,0.5483870967741935
356,36,5,5,3,SR,-0.3,0.1,0.41935483870967744
357,37,5,6,3,SR,-0.3,0.1,0.45161290322580644
358,38,5,7,3,SR,-0.3,0.1,0.5483870967741935
359,39,5,8,3,SR,-0.3,0.1,0.6129032258064516
360,40,6,1,3,SR,-0.3,0.1,0.6451612903225806
361,41,6,2,3,SR,-0.3,0.1,0.5806451612903226
362,42,6,3,3,SR,-0.3,0.1,0.45161290322580644
363,43,6,4,3,SR,-0.3,0.1,0.6129032258064516
364,44,6,5,3,SR,-0.3,0.1,0.5483870967741935
365,45,6,6,3,SR,-0.3,0.1,0.3548387096774194
366,46,6,7,3,SR,-0.3,0.1,0.3870967741935484
367,47,6,8,3,SR,-0.3,0.1,0.41935483870967744
368,48,7,1,3,SR,-0.3,0.1,0.5483870967741935
369,49,7,2,3,SR,-0.3,0.1,0.41935483870967744
370,50,7,3,3,SR,-0.3,0.1,0.6129032258064516
371,51,7,4,3,SR,-0.3,0.1,0.5161290322580645
372,52,7,5,3,SR,-0.3,0.1,0.5806451612903226
373,53,7,6,3,SR,-0.3,0.1,0.45161290322580644
374,54,7,7,3,SR,-0.3,0.1,0.41935483870967744
375,55,7,8,3,SR,-0.3,0.1,0.6129032258064516
376,56,8,1,3,SR,-0.3,0.1,0.7419354838709677
377,57,8,2,3,SR,-0.3,0.1,0.6774193548387096
378,58,8,3,3,SR,-0.3,0.1,0.6129032258064516
379,59,8,4,3,SR,-0.3,0.1,0.5806451612903226
380,60,8,5,3,SR,-0.3,0.1,0.6774193548387096
381,61,8,6,3,SR,-0.3,0.1,0.4838709677419355
382,62,8,7,3,SR,-0.3,0.1,0.5483870967741935
383,63,8,8,3,SR,-0.3,0.1,0.5806451612903226
384,0,1,1,3,SR,-0.2,0.1,0.5483870967741935
385,1,1,2,3,SR,-0.2,0.1,0.4838709677419355
386,2,1,3,3,SR,-0.2,0.1,0.5161290322580645
