,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy
0,0,1,1,3,SR,-0.8,0.1,0.45161290322580644
1,1,1,2,3,SR,-0.8,0.1,0.4838709677419355
2,2,1,3,3,SR,-0.8,0.1,0.6129032258064516
3,3,1,4,3,SR,-0.8,0.1,0.5483870967741935
4,4,1,5,3,SR,-0.8,0.1,0.5483870967741935
5,5,1,6,3,SR,-0.8,0.1,0.5483870967741935
6,6,1,7,3,SR,-0.8,0.1,0.5806451612903226
7,7,1,8,3,SR,-0.8,0.1,0.3548387096774194
8,8,2,1,3,SR,-0.8,0.1,0.5161290322580645
9,9,2,2,3,SR,-0.8,0.1,0.41935483870967744
10,10,2,3,3,SR,-0.8,0.1,0.41935483870967744
11,11,2,4,3,SR,-0.8,0.1,0.5483870967741935
12,12,2,5,3,SR,-0.8,0.1,0.6129032258064516
13,13,2,6,3,SR,-0.8,0.1,0.5161290322580645
14,14,2,7,3,SR,-0.8,0.1,0.45161290322580644
15,15,2,8,3,SR,-0.8,0.1,0.45161290322580644
16,16,3,1,3,SR,-0.8,0.1,0.5161290322580645
17,17,3,2,3,SR,-0.8,0.1,0.5483870967741935
18,18,3,3,3,SR,-0.8,0.1,0.5161290322580645
19,19,3,4,3,SR,-0.8,0.1,0.41935483870967744
20,20,3,5,3,SR,-0.8,0.1,0.41935483870967744
21,21,3,6,3,SR,-0.8,0.1,0.3870967741935484
22,22,3,7,3,SR,-0.8,0.1,0.3548387096774194
23,23,3,8,3,SR,-0.8,0.1,0.3870967741935484
24,24,4,1,3,SR,-0.8,0.1,0.6129032258064516
25,25,4,2,3,SR,-0.8,0.1,0.5806451612903226
26,26,4,3,3,SR,-0.8,0.1,0.5806451612903226
27,27,4,4,3,SR,-0.8,0.1,0.41935483870967744
28,28,4,5,3,SR,-0.8,0.1,0.3870967741935484
29,29,4,6,3,SR,-0.8,0.1,0.45161290322580644
30,30,4,7,3,SR,-0.8,0.1,0.3870967741935484
31,31,4,8,3,SR,-0.8,0.1,0.45161290322580644
32,32,5,1,3,SR,-0.8,0.1,0.6129032258064516
33,33,5,2,3,SR,-0.8,0.1,0.5806451612903226
34,34,5,3,3,SR,-0.8,0.1,0.6774193548387096
35,35,5,4,3,SR,-0.8,0.1,0.3548387096774194
36,36,5,5,3,SR,-0.8,0.1,0.3870967741935484
37,37,5,6,3,SR,-0.8,0.1,0.3548387096774194
38,38,5,7,3,SR,-0.8,0.1,0.3870967741935484
39,39,5,8,3,SR,-0.8,0.1,0.3870967741935484
