,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy
0,0,1,1,3,SR,-0.8,0.1,0.4666666666666667
1,1,1,2,3,SR,-0.8,0.1,0.3333333333333333
2,2,1,3,3,SR,-0.8,0.1,0.23333333333333334
3,3,1,4,3,SR,-0.8,0.1,0.3333333333333333
4,4,1,5,3,SR,-0.8,0.1,0.26666666666666666
5,5,1,6,3,SR,-0.8,0.1,0.26666666666666666
6,6,1,7,3,SR,-0.8,0.1,0.26666666666666666
7,7,1,8,3,SR,-0.8,0.1,0.3333333333333333
8,8,2,1,3,SR,-0.8,0.1,0.36666666666666664
9,9,2,2,3,SR,-0.8,0.1,0.3333333333333333
10,10,2,3,3,SR,-0.8,0.1,0.23333333333333334
11,11,2,4,3,SR,-0.8,0.1,0.23333333333333334
12,12,2,5,3,SR,-0.8,0.1,0.26666666666666666
13,13,2,6,3,SR,-0.8,0.1,0.3
14,14,2,7,3,SR,-0.8,0.1,0.36666666666666664
15,15,2,8,3,SR,-0.8,0.1,0.16666666666666666
16,16,3,1,3,SR,-0.8,0.1,0.3
17,17,3,2,3,SR,-0.8,0.1,0.4
18,18,3,3,3,SR,-0.8,0.1,0.2
19,19,3,4,3,SR,-0.8,0.1,0.3333333333333333
20,20,3,5,3,SR,-0.8,0.1,0.26666666666666666
21,21,3,6,3,SR,-0.8,0.1,0.3
22,22,3,7,3,SR,-0.8,0.1,0.2
23,23,3,8,3,SR,-0.8,0.1,0.2
24,24,4,1,3,SR,-0.8,0.1,0.16666666666666666
25,25,4,2,3,SR,-0.8,0.1,0.3
26,26,4,3,3,SR,-0.8,0.1,0.3
27,27,4,4,3,SR,-0.8,0.1,0.23333333333333334
28,28,4,5,3,SR,-0.8,0.1,0.2
29,29,4,6,3,SR,-0.8,0.1,0.26666666666666666
30,30,4,7,3,SR,-0.8,0.1,0.26666666666666666
31,31,4,8,3,SR,-0.8,0.1,0.23333333333333334
32,32,5,1,3,SR,-0.8,0.1,0.3
33,33,5,2,3,SR,-0.8,0.1,0.3333333333333333
34,34,5,3,3,SR,-0.8,0.1,0.3333333333333333
35,35,5,4,3,SR,-0.8,0.1,0.2
36,36,5,5,3,SR,-0.8,0.1,0.3
37,37,5,6,3,SR,-0.8,0.1,0.3
38,38,5,7,3,SR,-0.8,0.1,0.36666666666666664
39,39,5,8,3,SR,-0.8,0.1,0.43333333333333335
40,40,6,1,3,SR,-0.8,0.1,0.23333333333333334
41,41,6,2,3,SR,-0.8,0.1,0.26666666666666666
42,42,6,3,3,SR,-0.8,0.1,0.3333333333333333
43,43,6,4,3,SR,-0.8,0.1,0.26666666666666666
44,44,6,5,3,SR,-0.8,0.1,0.36666666666666664
45,45,6,6,3,SR,-0.8,0.1,0.26666666666666666
46,46,6,7,3,SR,-0.8,0.1,0.4
47,47,6,8,3,SR,-0.8,0.1,0.4
48,48,7,1,3,SR,-0.8,0.1,0.23333333333333334
49,49,7,2,3,SR,-0.8,0.1,0.3333333333333333
50,50,7,3,3,SR,-0.8,0.1,0.3
51,51,7,4,3,SR,-0.8,0.1,0.26666666666666666
52,52,7,5,3,SR,-0.8,0.1,0.43333333333333335
53,53,7,6,3,SR,-0.8,0.1,0.3333333333333333
54,54,7,7,3,SR,-0.8,0.1,0.3333333333333333
55,55,7,8,3,SR,-0.8,0.1,0.23333333333333334
56,56,8,1,3,SR,-0.8,0.1,0.3
57,57,8,2,3,SR,-0.8,0.1,0.26666666666666666
58,58,8,3,3,SR,-0.8,0.1,0.06666666666666667
59,59,8,4,3,SR,-0.8,0.1,0.13333333333333333
60,60,8,5,3,SR,-0.8,0.1,0.3333333333333333
61,61,8,6,3,SR,-0.8,0.1,0.3333333333333333
62,62,8,7,3,SR,-0.8,0.1,0.23333333333333334
63,63,8,8,3,SR,-0.8,0.1,0.26666666666666666
64,0,1,1,3,SR,-0.7,0.1,0.3333333333333333
65,1,1,2,3,SR,-0.7,0.1,0.3
66,2,1,3,3,SR,-0.7,0.1,0.26666666666666666
67,3,1,4,3,SR,-0.7,0.1,0.3
68,4,1,5,3,SR,-0.7,0.1,0.23333333333333334
69,5,1,6,3,SR,-0.7,0.1,0.4
70,6,1,7,3,SR,-0.7,0.1,0.43333333333333335
71,7,1,8,3,SR,-0.7,0.1,0.43333333333333335
72,8,2,1,3,SR,-0.7,0.1,0.4
73,9,2,2,3,SR,-0.7,0.1,0.36666666666666664
74,10,2,3,3,SR,-0.7,0.1,0.23333333333333334
75,11,2,4,3,SR,-0.7,0.1,0.16666666666666666
76,12,2,5,3,SR,-0.7,0.1,0.3333333333333333
77,13,2,6,3,SR,-0.7,0.1,0.26666666666666666
78,14,2,7,3,SR,-0.7,0.1,0.3
79,15,2,8,3,SR,-0.7,0.1,0.2
80,16,3,1,3,SR,-0.7,0.1,0.4
81,17,3,2,3,SR,-0.7,0.1,0.3333333333333333
82,18,3,3,3,SR,-0.7,0.1,0.3333333333333333
83,19,3,4,3,SR,-0.7,0.1,0.23333333333333334
84,20,3,5,3,SR,-0.7,0.1,0.3333333333333333
85,21,3,6,3,SR,-0.7,0.1,0.36666666666666664
86,22,3,7,3,SR,-0.7,0.1,0.43333333333333335
87,23,3,8,3,SR,-0.7,0.1,0.26666666666666666
88,24,4,1,3,SR,-0.7,0.1,0.43333333333333335
89,25,4,2,3,SR,-0.7,0.1,0.3
90,26,4,3,3,SR,-0.7,0.1,0.3333333333333333
91,27,4,4,3,SR,-0.7,0.1,0.26666666666666666
92,28,4,5,3,SR,-0.7,0.1,0.23333333333333334
93,29,4,6,3,SR,-0.7,0.1,0.2
94,30,4,7,3,SR,-0.7,0.1,0.13333333333333333
95,31,4,8,3,SR,-0.7,0.1,0.13333333333333333
96,32,5,1,3,SR,-0.7,0.1,0.26666666666666666
97,33,5,2,3,SR,-0.7,0.1,0.4
98,34,5,3,3,SR,-0.7,0.1,0.36666666666666664
99,35,5,4,3,SR,-0.7,0.1,0.3
100,36,5,5,3,SR,-0.7,0.1,0.43333333333333335
101,37,5,6,3,SR,-0.7,0.1,0.13333333333333333
102,38,5,7,3,SR,-0.7,0.1,0.36666666666666664
103,39,5,8,3,SR,-0.7,0.1,0.23333333333333334
104,40,6,1,3,SR,-0.7,0.1,0.36666666666666664
105,41,6,2,3,SR,-0.7,0.1,0.36666666666666664
106,42,6,3,3,SR,-0.7,0.1,0.36666666666666664
107,43,6,4,3,SR,-0.7,0.1,0.36666666666666664
108,44,6,5,3,SR,-0.7,0.1,0.3
109,45,6,6,3,SR,-0.7,0.1,0.16666666666666666
110,46,6,7,3,SR,-0.7,0.1,0.26666666666666666
111,47,6,8,3,SR,-0.7,0.1,0.23333333333333334
