,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy
94,30,4,7,3,SR,-0.7,0.1,0.4666666666666667
95,31,4,8,3,SR,-0.7,0.1,0.5333333333333333
96,32,5,1,3,SR,-0.7,0.1,0.5
97,33,5,2,3,SR,-0.7,0.1,0.5666666666666667
98,34,5,3,3,SR,-0.7,0.1,0.6
99,35,5,4,3,SR,-0.7,0.1,0.6666666666666666
100,36,5,5,3,SR,-0.7,0.1,0.7333333333333333
101,37,5,6,3,SR,-0.7,0.1,0.5
102,38,5,7,3,SR,-0.7,0.1,0.5666666666666667
103,39,5,8,3,SR,-0.7,0.1,0.4666666666666667
104,40,6,1,3,SR,-0.7,0.1,0.5666666666666667
105,41,6,2,3,SR,-0.7,0.1,0.6
106,42,6,3,3,SR,-0.7,0.1,0.5666666666666667
107,43,6,4,3,SR,-0.7,0.1,0.6333333333333333
108,44,6,5,3,SR,-0.7,0.1,0.6
109,45,6,6,3,SR,-0.7,0.1,0.5
110,46,6,7,3,SR,-0.7,0.1,0.5333333333333333
111,47,6,8,3,SR,-0.7,0.1,0.4666666666666667
112,48,7,1,3,SR,-0.7,0.1,0.6666666666666666
113,49,7,2,3,SR,-0.7,0.1,0.6333333333333333
114,50,7,3,3,SR,-0.7,0.1,0.5666666666666667
115,51,7,4,3,SR,-0.7,0.1,0.5333333333333333
116,52,7,5,3,SR,-0.7,0.1,0.7333333333333333
117,53,7,6,3,SR,-0.7,0.1,0.6333333333333333
118,54,7,7,3,SR,-0.7,0.1,0.6666666666666666
119,55,7,8,3,SR,-0.7,0.1,0.7
120,56,8,1,3,SR,-0.7,0.1,0.4666666666666667
121,57,8,2,3,SR,-0.7,0.1,0.5
122,58,8,3,3,SR,-0.7,0.1,0.6666666666666666
123,59,8,4,3,SR,-0.7,0.1,0.5333333333333333
124,60,8,5,3,SR,-0.7,0.1,0.7
125,61,8,6,3,SR,-0.7,0.1,0.6333333333333333
126,62,8,7,3,SR,-0.7,0.1,0.6666666666666666
127,63,8,8,3,SR,-0.7,0.1,0.7333333333333333
128,0,1,1,3,SR,-0.6,0.1,0.8666666666666667
129,1,1,2,3,SR,-0.6,0.1,0.9
130,2,1,3,3,SR,-0.6,0.1,0.7
131,3,1,4,3,SR,-0.6,0.1,0.5666666666666667
132,4,1,5,3,SR,-0.6,0.1,0.5666666666666667
133,5,1,6,3,SR,-0.6,0.1,0.6333333333333333
134,6,1,7,3,SR,-0.6,0.1,0.8666666666666667
135,7,1,8,3,SR,-0.6,0.1,0.8
136,8,2,1,3,SR,-0.6,0.1,0.9666666666666667
137,9,2,2,3,SR,-0.6,0.1,0.9
138,10,2,3,3,SR,-0.6,0.1,0.7
139,11,2,4,3,SR,-0.6,0.1,0.6
140,12,2,5,3,SR,-0.6,0.1,0.6333333333333333
141,13,2,6,3,SR,-0.6,0.1,0.5666666666666667
142,14,2,7,3,SR,-0.6,0.1,0.7666666666666667
143,15,2,8,3,SR,-0.6,0.1,0.8
144,16,3,1,3,SR,-0.6,0.1,0.7666666666666667
145,17,3,2,3,SR,-0.6,0.1,0.7666666666666667
146,18,3,3,3,SR,-0.6,0.1,0.5666666666666667
147,19,3,4,3,SR,-0.6,0.1,0.4
148,20,3,5,3,SR,-0.6,0.1,0.5
149,21,3,6,3,SR,-0.6,0.1,0.5666666666666667
150,22,3,7,3,SR,-0.6,0.1,0.7
151,23,3,8,3,SR,-0.6,0.1,0.7666666666666667
152,24,4,1,3,SR,-0.6,0.1,0.43333333333333335
153,25,4,2,3,SR,-0.6,0.1,0.6
154,26,4,3,3,SR,-0.6,0.1,0.5333333333333333
155,27,4,4,3,SR,-0.6,0.1,0.5666666666666667
156,28,4,5,3,SR,-0.6,0.1,0.5333333333333333
157,29,4,6,3,SR,-0.6,0.1,0.5333333333333333
158,30,4,7,3,SR,-0.6,0.1,0.5333333333333333
159,31,4,8,3,SR,-0.6,0.1,0.4
160,32,5,1,3,SR,-0.6,0.1,0.5666666666666667
161,33,5,2,3,SR,-0.6,0.1,0.5333333333333333
162,34,5,3,3,SR,-0.6,0.1,0.5
163,35,5,4,3,SR,-0.6,0.1,0.5666666666666667
164,36,5,5,3,SR,-0.6,0.1,0.5333333333333333
165,37,5,6,3,SR,-0.6,0.1,0.4666666666666667
166,38,5,7,3,SR,-0.6,0.1,0.6333333333333333
167,39,5,8,3,SR,-0.6,0.1,0.5666666666666667
168,40,6,1,3,SR,-0.6,0.1,0.4
169,41,6,2,3,SR,-0.6,0.1,0.4666666666666667
170,42,6,3,3,SR,-0.6,0.1,0.5666666666666667
171,43,6,4,3,SR,-0.6,0.1,0.4666666666666667
172,44,6,5,3,SR,-0.6,0.1,0.7
173,45,6,6,3,SR,-0.6,0.1,0.6
174,46,6,7,3,SR,-0.6,0.1,0.7
175,47,6,8,3,SR,-0.6,0.1,0.6666666666666666
176,48,7,1,3,SR,-0.6,0.1,0.7
177,49,7,2,3,SR,-0.6,0.1,0.4
178,50,7,3,3,SR,-0.6,0.1,0.5333333333333333
179,51,7,4,3,SR,-0.6,0.1,0.5
180,52,7,5,3,SR,-0.6,0.1,0.6666666666666666
181,53,7,6,3,SR,-0.6,0.1,0.7
182,54,7,7,3,SR,-0.6,0.1,0.7
183,55,7,8,3,SR,-0.6,0.1,0.5666666666666667
184,56,8,1,3,SR,-0.6,0.1,0.5666666666666667
185,57,8,2,3,SR,-0.6,0.1,0.5
186,58,8,3,3,SR,-0.6,0.1,0.5666666666666667
187,59,8,4,3,SR,-0.6,0.1,0.6
188,60,8,5,3,SR,-0.6,0.1,0.6
